#;Напаяно;Значение;Имя;Метка;Количество;Корпус;Дополнительно
65;;1.2K;RES_0805;R10;1;RES_0805;
66;;220R;RES_0805;R11;1;RES_0805;
67;;510R;RES_0805;R12;1;RES_0805;
68;;1.2K;RES_0805;R13;1;RES_0805;
69;;510R;RES_0805;R14;1;RES_0805;
70;;1K;RES_0805;R15;1;RES_0805;
71;;1K;RES_0805;R16;1;RES_0805;
72;;510R;RES_0805;R17;1;RES_0805;
73;;4.7K;RES_0805;R18;1;RES_0805;
74;;4.7K;RES_0805;R19;1;RES_0805;
75;;10K;RES_0805;R20;1;RES_0805;
76;;4.7K;RES_0805;R21;1;RES_0805;
77;;4.7K;RES_0805;R22;1;RES_0805;
78;;10K;RES_0805;R23;1;RES_0805;
79;;10K;RES_0805;R24;1;RES_0805;
80;;10K;RES_0805;R25;1;RES_0805;
81;;10K;RES_0805;R26;1;RES_0805;
82;;10K;RES_0805;R27;1;RES_0805;
83;;10K;RES_0805;R28;1;RES_0805;
84;;10K;RES_0805;R29;1;RES_0805;
85;;10K;RES_0805;R30;1;RES_0805;
86;;10K;RES_0805;R31;1;RES_0805;
87;;10K;RES_0805;R32;1;RES_0805;
88;;10K;RES_0805;R33;1;RES_0805;
89;;10K;RES_0805;R34;1;RES_0805;
90;;10K;RES_0805;R35;1;RES_0805;
91;;10K;RES_0805;R36;1;RES_0805;
92;;1R0;RES_0805;R37;1;RES_0805;
93;;1R0;RES_0805;R38;1;RES_0805;
94;;10K;RES_0805;R44;1;RES_0805;
95;;10K;RES_0805;R45;1;RES_0805;
96;;510R;RES_0805;R46;1;RES_0805;
97;;9k1;RES_0805;R47;1;RES_0805;
98;;1R0;RES_0805;R48;1;RES_0805;
99;;10K;RES_0805;R49;1;RES_0805;
100;;75R;RES_0805;R50;1;RES_0805;
101;;SoftReset;Famicom_Universal_Reset_Switch;RSW1;1;Famicom_Universal_Reset_Switch;
102;;UA6527P/UA6527;CPU_UA6527P;U1;1;CPU_UA6527P;
103;;UA6538/UA6528;PPU_6538/6528;U2;1;PPU_6538/6528;
104;;SN74HC139N;SN74HC139N;U3;1;DIP-16;
105;;SN74HC373N;SN74LS373N;U4;1;DIP-20;
106;;6264/62256;SRAM_6264/62256;U5;1;DIP-28_SRAM;Узкая память (нет на плате)
107;;6264/62256;SRAM_6264/62256;U6;1;DIP-28_SRAM;Узкая память (нет на плате)
108;;SN74HC368N;SN74HC368N;U7;1;DIP-16;
109;;SN74HC368N;SN74HC368N;U8;1;DIP-16;
110;;7805;LM7805CT;U9;1;TO-220;
111;;;4558;U10;1;DIP-8;Аудио усилитель можно заменить на OPA2134
112;;;THS7314;U11;1;SOIC-8/150mil;Видео усилитель
113;;2048 x 8 Static RAM;FamicomSRAM_wide;U5.1;1;SRAM 2kx8 Wide;Широкая память
114;;2048 x 8 Static RAM;FamicomSRAM_wide;U6.1;1;SRAM 2kx8 Wide;Широкая память
115;;DF01S-T;DF01S-T;VD1;1;DBS;
;;;;;115;;
;;;;;;;
;;;;;;;
;;Компоненты C35,C36,C37,C38,C39,C40,C41,C42,C43;;;;;
;;отсутсвуют на схеме, сделаны как резервные могут быть след номиналом : 1nF(102),  10nF(103);;;;;
